novel_id	tag	gender	fullname
65568	2	0	胤禵
65568	2	0	胤禵
65584	1	2	阿笛
65584	1	2	阿笛
65588	1	1	莱斯
65683	1	2	莫莉
66008	1	1	阿修
66008	2	0	阿诺
66085	2	0	星野
66273	1	1	小王子
66365	1	1	阿晖
66594	2	0	阿辉等
66744	2	0	佩特拉
66775	1	1	阿远
66786	2	0	阿枫
66876	2	0	小杰
66876	2	0	玛奇
66957	1	1	子期
67071	2	0	井上织姬
67071	1	1	浦原喜助
67071	2	0	石田雨龙
67071	1	1	黑崎一护
67108	2	0	胤祥
67108	2	0	胤祥
67108	1	1	胤禛
67108	1	1	胤禛
67108	2	0	胤禟
67108	2	0	胤禟
67108	2	0	胤禩
67108	2	0	胤禩
67108	2	0	胤禵
67108	2	0	胤禵
67146	1	2	小梅
67176	2	0	小豆角
67197	1	1	小朱
67197	1	1	小杨
67472	1	2	阿木
67472	1	2	阿木
67504	2	0	小虫
67615	2	0	小黑
67694	1	2	瑞安
67712	1	1	老公
67827	1	2	小四
67845	2	0	诺兰
67854	2	0	小晏
67857	2	0	吉娜
67861	1	2	小学生
68054	2	0	小璎
68233	1	2	小薰
68404	1	1	安德鲁
68409	1	1	阿宝
68409	1	1	阿宝
68445	2	0	大神
68454	1	2	阿靖
68706	1	1	小青
68706	1	1	小青
68747	1	1	小罗
68747	1	1	小花
68747	2	0	阿忠
68770	1	1	阿岫
68857	1	2	小榄
69068	2	0	大太太
69120	2	0	小乖
69141	1	1	小希
69152	2	0	阿桃
69207	2	0	小王
69452	1	2	小丑
69452	1	2	小丑
69452	1	1	小姑娘
69640	1	2	阿度
69688	1	1	小意
69716	2	0	小青
69716	2	0	小青
69735	2	0	杰拉尔德
69735	2	0	罗伊
69783	1	2	微微
69880	2	0	小寒
70193	1	1	佐伊
70279	1	2	小狗
70283	1	2	夏树
70296	2	0	小刚
70296	1	1	老苗
70372	1	1	胤禟
70372	1	1	胤禟
70500	2	0	千夏
70501	1	1	小野雪
70605	2	0	威廉
70605	2	0	老吉布
70687	1	1	小芤
70687	2	0	小鹰
70687	1	1	阿泰
70722	2	0	胤祥
70722	2	0	胤祥
70722	1	1	胤禛
70722	1	1	胤禛
70792	1	2	小书
70792	1	2	小蔚
70809	1	1	老人
70815	1	1	宝儿
70815	2	0	小美
70862	1	2	貂婵
70909	2	0	颖儿
71100	1	1	菊丸英二
71147	1	1	大少
71214	1	1	小夏
71378	2	0	阿万
71441	1	1	真田
71463	2	0	伊恩
71463	1	1	凯伊
71463	2	0	弗朗西斯
71463	2	0	拉尔夫
71482	1	1	胤禛
71482	1	1	胤禛
71629	2	0	阿部
71650	1	1	廪君
71650	2	0	阿弥婆
71656	2	0	小云
71720	2	0	大乔
71720	2	0	大乔
71720	2	0	太史慈
71741	2	0	小储
71784	2	0	安娜
71815	1	1	小东
71947	2	0	小柳
72366	1	2	小夏
72453	1	2	克里斯汀
72453	1	1	莱斯特
72505	1	1	胤祥
72505	1	1	胤祥
72505	2	0	胤禛
72505	2	0	胤禛等
72518	1	1	小离
72518	1	2	艾维
72528	1	2	子扬
72555	1	1	小石蛋
72569	2	0	小唐
72569	2	0	胤祥
72569	2	0	胤祥
72569	2	0	胤禛
72569	2	0	胤禛
72569	2	0	胤禩
72569	2	0	胤禩
72584	1	1	威廉
72670	1	1	迪恩
72802	2	0	琳达
72836	2	0	大土
72836	1	2	小橘
73071	2	0	小花
73087	2	0	小葵
73126	1	2	阿诺
73230	1	1	小影
73310	1	1	老林
73367	2	0	辛迪
73385	2	0	微微
73401	2	0	小倩
73424	2	0	小刚
73450	2	0	德妃
73596	1	2	老鼠
73630	2	0	牡丹
73646	1	1	小陶
73674	2	0	小鱼
73678	1	2	莲溪
73712	3	2	阿云
73712	3	1	阿张
73744	2	0	小楚
74052	1	1	安娜
74091	1	2	小舞
74091	2	0	阿园
74091	1	1	阿翔
74224	1	2	小姑娘
74481	2	0	阿福
74540	1	2	阿修罗
74615	2	0	珍妮
74635	1	1	乾贞治
74635	1	1	海堂薰
74667	2	0	大法师
74827	1	1	典韦
74985	1	1	黑羽快斗
75015	2	0	小桃
75114	2	0	阿多尼斯
75114	1	2	阿西亚
75247	1	1	不二周助
75247	1	1	越前龙马
75248	1	1	不二周助
75248	1	1	菊丸英二
75349	2	0	老毛
75367	1	2	卡洛斯·迪塞尔
75390	1	1	阿尔蒙
75656	2	0	阿天
75927	1	1	林恩·克里维
75927	1	1	萨姆·格兰特
75938	1	1	不二周助
75938	1	1	手冢国光
75938	2	0	越前龙马
75945	1	2	小禄
75945	2	0	小福
76153	2	0	小百
76400	2	0	卡莱尔
76407	1	1	雪儿
76424	1	1	亚历山大
76921	2	0	肖恩
